run_id,timestamp_iso,quantization,threads,battery_tier,battery_pct_actual,battery_saver_active,thermal_condition,thermal_zone_used,cpu_temp_start_c,cpu_temp_end_c,throttled,freq_drop_pct,prefill_tokens_per_sec,decode_tokens_per_sec,prompt_tokens,generated_tokens,model_load_ms,prefill_duration_ms,decode_duration_ms,watts_mean,watts_min,watts_max,watts_n_samples,watts_samples_json,baseline_watts_mean,watts_delta_mean,cache_state,swap_latency_ms,is_warmup,notes
q8da4w-t4-high-ambient-cold-rep0,2026-08-06T18:28:06.586742+00:00,q8da4w,4,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",34.0,47.0,True,28.14,109.677,50.1596,17,110,1001.0,155.0,2193.0,6.2059,0.7965,9.3559,3,"[[1.027, 0.7965], [3.105, 9.3559], [4.996, 8.4653]]",0.6015,5.6044,cold,,True,wall_time_s=5.00
q8da4w-t4-high-ambient-cold-rep0,2026-08-06T18:28:24.709393+00:00,q8da4w,4,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",41.0,46.0,True,28.14,114.094,50.8788,17,110,862.0,149.0,2162.0,3.405,0.3531,8.893,4,"[[1.01, 0.3531], [2.052, 3.4661], [3.922, 8.893], [6.071, 0.9076]]",0.3972,3.0078,cold,,False,wall_time_s=4.80
q8da4w-t4-high-ambient-cold-rep1,2026-08-06T18:28:45.809549+00:00,q8da4w,4,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",42.0,47.0,False,14.86,94.4444,49.195,17,110,867.0,180.0,2236.0,3.1705,0.4474,8.5072,3,"[[0.982, 0.5568], [3.994, 8.5072], [5.833, 0.4474]]",0.6123,2.5582,cold,,False,wall_time_s=4.97
q8da4w-t4-high-ambient-cold-rep2,2026-08-06T18:29:03.961910+00:00,q8da4w,4,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",43.0,46.0,True,28.14,115.646,51.0617,17,101,880.0,147.0,1978.0,3.0146,0.7165,7.4658,3,"[[1.0, 0.7165], [4.005, 7.4658], [5.949, 0.8615]]",0.4279,2.5867,cold,,False,wall_time_s=4.84
q8da4w-t2-high-ambient-cold-rep0,2026-08-06T18:29:20.930336+00:00,q8da4w,2,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",44.0,51.0,True,21.81,91.8919,51.3779,17,110,873.0,185.0,2141.0,1.5594,0.3285,3.2943,3,"[[1.115, 0.3285], [2.989, 3.2943], [5.132, 1.0553]]",0.4036,1.1558,cold,,True,wall_time_s=5.12
q8da4w-t2-high-ambient-cold-rep0,2026-08-06T18:29:41.817224+00:00,q8da4w,2,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",43.0,46.0,False,0.0,119.718,51.5683,17,97,873.0,142.0,1881.0,4.5044,0.4231,8.8752,4,"[[0.866, 0.4231], [2.76, 8.2772], [3.968, 8.8752], [5.835, 0.4421]]",0.3575,4.1469,cold,,False,wall_time_s=4.50
q8da4w-t2-high-ambient-cold-rep1,2026-08-06T18:29:59.158323+00:00,q8da4w,2,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",43.0,46.0,False,0.0,103.03,53.2044,17,88,866.0,165.0,1654.0,3.5568,0.5902,8.947,3,"[[0.95, 1.1332], [2.773, 8.947], [4.976, 0.5902]]",0.6064,2.9504,cold,,False,wall_time_s=4.31
q8da4w-t2-high-ambient-cold-rep2,2026-08-06T18:30:19.208355+00:00,q8da4w,2,high,78,False,ambient,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",43.0,45.0,False,0.0,111.842,52.9248,17,76,910.0,152.0,1436.0,3.2637,0.3663,9.0018,3,"[[1.187, 0.3663], [3.365, 9.0018], [5.226, 0.423]]",0.5009,2.7628,cold,,False,wall_time_s=4.40
q8da4w-t4-high-preheated-cold-rep0,2026-08-06T18:30:34.232667+00:00,q8da4w,4,high,78,False,preheated,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",42.0,47.0,True,28.14,138.211,52.2141,17,79,873.0,123.0,1513.0,4.3103,0.3372,9.232,3,"[[0.646, 0.3372], [1.83, 3.3616], [3.697, 9.232]]",0.3833,3.927,cold,,True,wall_time_s=3.86
q8da4w-t4-high-preheated-cold-rep0,2026-08-06T18:30:54.967828+00:00,q8da4w,4,high,78,False,preheated,"dumpsys thermalservice (HAL, mType=0): BIG, LITTLE, MID",42.0,49.0,False,0.0,125,50.8553,17,110,873.0,136.0,2163.0,5.6642,0.3827,8.3351,3,"[[1.003, 0.3827], [2.963, 8.2748], [4.968, 8.3351]]",0.8865,4.7777,cold,,False,wall_time_s=4.91
